Media,Sample,Days.Diff,Days.Culture,Days.Total,Gene,Rel.Expression
NPSR,1,8,4,12,SIX1,0.000502694
NPSR,1,8,4,12,SIX2,0.02995554
NPSR,1,8,4,12,EYA1,0.027768634
NPSR,1,8,4,12,CITED1,0.012128963
NPSR,1,8,4,12,ECAD,0.002685922
NPSR,1,8,4,12,CDH6,0.017259486
NPSR,1,8,4,12,WNT4,0.000649147
NPSR,2,8,4,12,SIX1,0.000705516
NPSR,2,8,4,12,SIX2,0.027272044
NPSR,2,8,4,12,EYA1,0.028839701
NPSR,2,8,4,12,CITED1,0.0107184
NPSR,2,8,4,12,ECAD,0.002207353
NPSR,2,8,4,12,CDH6,0.016869176
NPSR,2,8,4,12,WNT4,0.000683455
APEL2,1,8,4,12,SIX1,0.000671581
APEL2,1,8,4,12,SIX2,0.006400277
APEL2,1,8,4,12,EYA1,0.246600905
APEL2,1,8,4,12,CITED1,0.069929742
APEL2,1,8,4,12,ECAD,0.00183596
APEL2,1,8,4,12,CDH6,0.023570889
APEL2,1,8,4,12,WNT4,0.003211805
APEL2,2,8,4,12,SIX1,0.000694085
APEL2,2,8,4,12,SIX2,0.005231172
APEL2,2,8,4,12,EYA1,0.210042037
APEL2,2,8,4,12,CITED1,0.066490867
APEL2,2,8,4,12,ECAD,0.002050654
APEL2,2,8,4,12,CDH6,0.0259387
APEL2,2,8,4,12,WNT4,0.003548561
CDBLY,1,8,4,12,SIX1,0.001118877
CDBLY,1,8,4,12,SIX2,0.013991877
CDBLY,1,8,4,12,EYA1,0.074585207
CDBLY,1,8,4,12,CITED1,0.005398471
CDBLY,1,8,4,12,ECAD,0.000248919
CDBLY,1,8,4,12,CDH6,0.010595288
CDBLY,1,8,4,12,WNT4,0.001140224
CDBLY,2,8,4,12,SIX1,0.00128644
CDBLY,2,8,4,12,SIX2,0.014097339
CDBLY,2,8,4,12,EYA1,0.096792115
CDBLY,2,8,4,12,CITED1,0.006653058
CDBLY,2,8,4,12,ECAD,0.000334061
CDBLY,2,8,4,12,CDH6,0.009800923
CDBLY,2,8,4,12,WNT4,0.001416324
NPSR,1,8,7,15,SIX1,0.001227978
NPSR,1,8,7,15,SIX2,0.037612778
NPSR,1,8,7,15,EYA1,0.017802208
NPSR,1,8,7,15,CITED1,0.015919807
NPSR,1,8,7,15,ECAD,0.003744962
NPSR,1,8,7,15,CDH6,0.045896671
NPSR,1,8,7,15,WNT4,0.001498256
NPSR,2,8,7,15,SIX1,0.001471531
NPSR,2,8,7,15,SIX2,0.045745279
NPSR,2,8,7,15,EYA1,0.018288324
NPSR,2,8,7,15,CITED1,0.013882071
NPSR,2,8,7,15,ECAD,0.006566923
NPSR,2,8,7,15,CDH6,0.03934616
NPSR,2,8,7,15,WNT4,0.00191408
APEL2,1,8,7,15,SIX1,0.000860343
APEL2,1,8,7,15,SIX2,0.011061187
APEL2,1,8,7,15,EYA1,0.157393733
APEL2,1,8,7,15,CITED1,0.029137078
APEL2,1,8,7,15,ECAD,0.001597963
APEL2,1,8,7,15,CDH6,0.025489555
APEL2,1,8,7,15,WNT4,0.003336844
APEL2,2,8,7,15,SIX1,0.001108174
APEL2,2,8,7,15,SIX2,0.010444954
APEL2,2,8,7,15,EYA1,0.178247037
APEL2,2,8,7,15,CITED1,0.043756768
APEL2,2,8,7,15,ECAD,0.003199473
APEL2,2,8,7,15,CDH6,0.025993595
APEL2,2,8,7,15,WNT4,0.003480958
CDBLY,1,8,7,15,SIX1,0.002664043
CDBLY,1,8,7,15,SIX2,0.03093892
CDBLY,1,8,7,15,EYA1,0.066667772
CDBLY,1,8,7,15,CITED1,0.017281832
CDBLY,1,8,7,15,ECAD,7.80E-05
CDBLY,1,8,7,15,CDH6,0.015762425
CDBLY,1,8,7,15,WNT4,0.001753679
CDBLY,2,8,7,15,SIX1,0.000652651
CDBLY,2,8,7,15,SIX2,0.015080555
CDBLY,2,8,7,15,EYA1,0.074832044
CDBLY,2,8,7,15,CITED1,0.007620845
CDBLY,2,8,7,15,ECAD,8.88E-05
CDBLY,2,8,7,15,CDH6,0.00828069
CDBLY,2,8,7,15,WNT4,0.003921533
NPSR,1,8,10,18,SIX1,0.016232736
NPSR,1,8,10,18,EYA1,0.040158522
NPSR,1,8,10,18,CITED1,0.004976165
NPSR,2,8,10,18,SIX1,0.017223832
NPSR,2,8,10,18,SIX2,0.044356828
NPSR,2,8,10,18,EYA1,0.025689988
NPSR,2,8,10,18,CITED1,0.004098893
NPSR,2,8,10,18,ECAD,0.001352365
NPSR,2,8,10,18,CDH6,0.00215776
NPSR,2,8,10,18,WNT4,0.02067957
APEL2,1,8,10,18,SIX1,0.003682242
APEL2,1,8,10,18,SIX2,0.013516824
APEL2,1,8,10,18,EYA1,0.174984616
APEL2,1,8,10,18,CITED1,0.014246487
APEL2,1,8,10,18,ECAD,0.003958172
APEL2,1,8,10,18,CDH6,0.033978124
APEL2,1,8,10,18,WNT4,0.00533998
APEL2,2,8,10,18,SIX1,0.002430889
APEL2,2,8,10,18,SIX2,0.01447844
APEL2,2,8,10,18,EYA1,0.145082961
APEL2,2,8,10,18,CITED1,0.015611468
APEL2,2,8,10,18,ECAD,0.003775543
APEL2,2,8,10,18,CDH6,0.030062317
APEL2,2,8,10,18,WNT4,0.004014817
CDBLY,1,8,10,18,SIX1,0.006745931
CDBLY,1,8,10,18,SIX2,0.088978464
CDBLY,1,8,10,18,EYA1,0.100068975
CDBLY,1,8,10,18,CITED1,0.027099937
CDBLY,1,8,10,18,ECAD,0.000131265
CDBLY,1,8,10,18,CDH6,0.034301925
CDBLY,1,8,10,18,WNT4,0.000864308
CDBLY,2,8,10,18,SIX1,0.013639803
CDBLY,2,8,10,18,SIX2,0.079232346
CDBLY,2,8,10,18,EYA1,0.052855595
CDBLY,2,8,10,18,CITED1,0.013386599
CDBLY,2,8,10,18,ECAD,0.00027066
CDBLY,2,8,10,18,CDH6,0.031577337
CDBLY,2,8,10,18,WNT4,0.000844528
